ID,Mcore,err_Mcore,Tcore,Size
20kms~cloud_255,1.43,0.71,159.7,4040
20kms~cloud_256,1.62,0.81,97.3,4550
20kms~cloud_257,0.37,0.18,,1030
20kms~cloud_258,3.90,1.95,,1940
20kms~cloud_259,0.72,0.36,,1540
20kms~cloud_260,1.69,0.84,,1980
20kms~cloud_261,2.10,1.05,,2330
20kms~cloud_262,0.60,0.30,,1500
20kms~cloud_263,0.50,0.25,,1320
20kms~cloud_264,0.47,0.23,,1120
20kms~cloud_265,0.33,0.17,,1030
20kms~cloud_266,0.34,0.17,74.6,2290
20kms~cloud_267,2.08,1.04,,2100
20kms~cloud_268,0.54,0.27,,1110
20kms~cloud_269,35.76,17.88,,5210
20kms~cloud_270,2.46,1.23,,2820
20kms~cloud_271,2.53,1.26,,1810
20kms~cloud_272,0.72,0.36,,1310
20kms~cloud_273,0.66,0.33,,1090
20kms~cloud_274,0.54,0.27,,1340
20kms~cloud_275,0.51,0.26,,1080
20kms~cloud_276,0.41,0.20,,1110
20kms~cloud_277,0.72,0.36,,1280
20kms~cloud_278,0.49,0.24,,1150
20kms~cloud_279,5.70,2.85,,1280
